NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;REGION;DEPARTEMENT;coordonnees_finales
Musée l'Herminier;9712003;Office du Tourisme 1 Centre Commercial Marina;97110;POINTE-A-PITRE;05 90 82 09 30;05 90 83 89 22;;;;;01/02/2003;;GUADELOUPE;GUADELOUPE;16.2380667496,-61.5355740279
Musée Monseigneur Pigneau de Behaine;257401;Rue du Musée;2550;ORIGNY-EN-THIERACHE;03 23 91 31 10;03 23 91 31 11;;;Uniquement sur rendez-vous. Ouvert à l'occasion de la nuit des musees et durant les journees europeennes du patrimoine;;01/02/2003;;HAUTS-DE-France;AISNE;49.89599,4.022348
Musée de la Société des Antiquaires;1411805;;14000;CAEN;;;;;;;01/02/2003;;NORMANDIE;CALVADOS;49.181339,-0.370637
Musée Archéologique;3415801;Place du Monument aux Morts;34210;MINERVE;04 68 91 22 92;04 68 91 22 92;;Décembre, janvier et 22 jours en février;Ouvert tous les jours de 10h à 13h et de 14h à 18h du 1er mars à mi-novembre;;01/02/2003;;OCCITANIE;HERAULT;43.354336,2.746215
Musée Philippe de Girard;8406801;Hötel de ville;84160;LOUMARIN - CADENET;04 90 68 04 13;;;;;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.743816,5.364898
Musée Paul Reclus;2415201;Place de la Halle;24250;DOMME;05 53 31 71 00;05 53 31 71 09;;;Ouvert tous les jours d'avril à juin et septembre de 10h30 à 12h30 et de 14h30 à 18h, en juillet-août de 10h30 à 19h;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;44.803032,1.214171
Musée de la Sidérurgie Grande Forge;2111401;La Grande Forge;21500;BUFFON;03 80 92 10 35;03 80 92 41 64;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.649672,4.260959
Musée des arts et traditions populaires;8211202;4, Rue de l'Abbaye;82200;MOISSAC;05 63 04 63 63;05 63 04 63 64;;;Ouvert d'avril à juin et de septembre à octobre du mardi au dimanche  de 10h à 12h et de 14h à 17h, en  juillet-août tous les jours de 10h à 13h et de 14h à 18h;;01/02/2003;;OCCITANIE;TARN-ET-GARONNE;44.105697,1.085296
Musée Municipal d'archéologie;1220301;Rue Saint-Pierre;12250;ROQUEFORT-SUR-SOULZON;05 65 59 91 95;05 65 59 95 16;;;;;01/02/2003;;OCCITANIE;AVEYRON;43.975028,2.99165
Musée Agathois;3400301;5 rue de la Fraternité;34300;AGDE;04 67 94 82 51;04 67 01 03 14;;24 décembre au 2 janvier, jours fériés;Ouvert de septembre à juin du mardi au samedi de 9h à 12h et de 14h à 17h30 en juillet-août du mardi au samedi de 10h à 17h;;01/02/2003;;OCCITANIE;HERAULT;43.311837,3.468587
Musée Municipal de Civray;8607801;Office du tourisme Place du Général Leclerc;86400;CIVRAY;05 49 87 00 49;05 49 87 94 24;;;Ouvert en juillet-août du lundi au samedi de 9h30 à 12h30 et de 14h à 18h, le reste de l'année mardi au vendredi de 9h30 à 12h30 et de 14h à 16h samedi de 9h à 12h30 de mars à juin, septembre et novembre lundi et jeudi de 9h30 à 12h30 et de 14h à 18h;;01/02/2003;;NOUVELLE-AQUITAINE;VIENNE;46.1593309397,0.27690268606
Musée de la Corbillière;4113601;Château de la Corbillière;41500;MER;02 54 81 70 21;02 54 81 70 21;;;Ouvert de janvier à mars et d'octobre à novembre de 14h30 à 18h, mercredi, samedi, et d'avril à septembre de 14h30 à 19h du mercredi au dimanche et jours fériés;;01/02/2003;;CENTRE-VAL DE LOIRE;LOIR ET CHER;47.697721,1.503488
Musée d'Art Sacré;4624001;Parvis des Sanctuaires;46500;ROCAMADOUR;05 65 33 23 30;05 65 33 23 24;;;;;01/02/2003;;OCCITANIE;LOT;44.7803374405,1.69650074579
Musée Verger Tarin;7101401;Rue des Sous-Chantres;71400;AUTUN;03 85 52 04 84;03 85 52 20 28;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.944133,4.299861
Musée du Château;5060101;Place Charles de Gaulle;50160;TORIGNI-SUR-VIRE;02 33 56 71 44;02 33 56 13 35;;;ouvert de juin à début juillet les week-end ainsi que du 1er au 15 septembre, juillet-août de 10h à 12h le lundi et de 14h à 18h les mercredi, samedi et dimanche. Ouvert toute l'année pour les groupes sur rendez-vous;;01/02/2003;;NORMANDIE;MANCHE;49.039846,-0.983137
Musée de la Ferblanterie;4316701;;43300;SAINT ARCONS D'ALLIER;04 71 74 02 04;04 71 74 03 39;;;;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;45.067807,3.548896
Musée du Terroir;3713202;;37600;LOCHES;;;;;;;01/02/2003;;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.128196,0.994671
Musée Paul Raymond;3020201;Place de l'Ancienne Mairie;30130;PONT-SAINT-ESPRIT;04 66 39 09 98;04 66 90 59 39;;;;;01/02/2003;15/05/2014 00:00;OCCITANIE;GARD;44.255693,4.650888
Musée Municipal;4403601;Hôtel de ville B.P. 189;44146;CHATEAUBRIANT;;;;;;;01/02/2003;;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;
Musée du Costume;7305401;Hauteville-Gondon;73700;BOURG-SAINT-MAURICE;04 79 07 09 01;;;;;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.595417,6.759954
Musée Garinet;5110803;13, rue Pasteur;51000;CHALONS-EN-CHAMPAGNE;03 26 69 38 53;03 26 69 38 42;;1er janvier, 1er mai, 1er & 11 novembre, 25 décembre;Ouvert sur rendez-vous uniquement, premier dimanche du mois et évènements nationaux à partir du 1er janvier 2015;;01/02/2003;;GRAND EST;MARNE;48.955828,4.366495
Musée Départemental Alexandre Franconie;9730201;1, Avenue du Général-de-Gaulle;97300;CAYENNE - GUYANE;05 94 29 59 13;05 94 29 59 11;;;De septembre à juin : Lundi : 10h00-14h00 / 15h00-18h00 Mercredi : 8h00-13h30 / 15h00-18h00 Jeudi : 8h00-14h00 Vendredi : 8h00-14h00 / 15h00-18h00 Samedi : 9h00-13h30 Juillet et août : Du lundi au vendredi : 8h00-14h30 Samedi : 9h00-13h30;chaque dernier vendredi du mois;01/02/2003;;GUYANE;GUYANE;4.938177,-52.334359
Musée du Vieux Marseille;1305502;2, Rue de la Prison;13002;MARSEILLE;04 91 55 28 68;04 91 55 28 66;;;;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.296896,5.369449
Musée Lapidaire;7300802;Place Maurice Mollard;73100;AIX-LES-BAINS;04 79 88 68 00;04 79 35 05 92;;;;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.68876,5.915582
Musée Paléontologique;6322301;Le Bourg;63560;MENAT;04 73 85 50 29;04 73 85 50 22;;Janvier, février, mars;Ouvert de Pâques à fin mai week-end et jours fériés de 10h30 à 12h et de 14h à 18h30 et de juin à septembre du mercredi au lundi de 10h30 à 12h et de 14h à 18h30;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;PUY DE DÔME;46.103797,2.904043
Musée de l'Uniforme - Musée de la Légion Etrangère;1307901;Domaine Capitaine-Danjou Chemin Pallière;13114;PUYLOUBIER;04 42 91 45 01;;;;Ouvert tous les jours de  10h à 12h et de 14h à 17h;;21/03/2011;;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.5188199408,5.67773327716
Musée des Arts et d’Histoire;8301901;103, Rue Carnot;83230;BORMES-LES-MIMOSAS;04 94 71 56 60;04 94 71 56 60;;;Ouvert du mardi au samedi de 10h à 12h et de 14h30 à 17h30  d'octobre à mai, de 10h à 12h et de 15h30 à 18h30 de juin à septembre, le dimanche de 10h à 12h;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.150793,6.340584
Musée Municipal;7134202;Avenue Jean-Paul II;71600;PARAY-LE-MONIAL;;;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.450193,4.120561
Musée du Gatinais;4520801;7, Rue du Château;45200;MONTARGIS;02 38 93 45 63;;;;Ouvert samedi et dimanche de 13h30 à 17h30 depuis le 16 janvier 2008, depuis le 15 avril 2009 ouvert le mercredi et samedi de 13h30 à 17h30;;27/12/2002;;CENTRE-VAL DE LOIRE;LOIRET;47.998314,2.729233
Musée d'Histoire Naturelle;7919102;28, avenue de Limoges;79000;NIORT;;;;;;;01/02/2003;;NOUVELLE-AQUITAINE;DEUX-SEVRES;46.321065,-0.454107
Ecomusée de Marie-Galante;9711201;Habitation Murat;97112;GRAND-BOURG de MARIE-GALANTE;05 90 97 48 68;05 90 97 94 41;;;Ouvert du lundi au vendredi de 9h à 17h30 et samedi dimanche de 9h à 13h30 depuis le 8 mars 2008;;01/02/2003;;GUADELOUPE;GUADELOUPE;15.87039,-61.269045
Musée - Centre de Documentation Alfred Desmasures;238101;Impasse du Château;2500;HIRSON;03 23 98 77 42;;;;Ouvert lundi, mardi, jeudi, vendredi, samedi de 13h30 à 16h30, les matins, les mercredis et dimanches sur rendez-vous;;01/02/2003;;HAUTS-DE-France;AISNE;49.925734,4.079378
Musée Georges Labit;3155505;17, rue du Japon;31400;TOULOUSE;05 61 53 48 25;05 61 14 65 59;;Jours fériés;Ouvert du mardi au dimanche de 10h à 17h d'octobre à mai et de 10h à 18h de juin à septembre;;01/02/2003;;OCCITANIE;HAUTE-GARONNE;43.589735,1.458081
Musée des Vallées de Thônes;7428001;2, Rue Blanche;74230;THONES;04 50 02 97 76;04 50 02 97 76;;;Ouvert le lundi de 14h30 à 17h30, le mardi de 9h à 12h, le mercredi 9h à 12h et de 13h30 à 17h30, jeudi et vendredi de 9h à 12h et de 14h30 à 17h30, le samedi de 9h30 à 12h et de 14h30 à 17h30,;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;45.881618,6.324161
Musée archéologique;422701;Mairie de Vachères;4110;VACHERES;04 92 75 62 15;04 92 75 61 10;;Janvier;Ouvert tous les jours en juillet-août de 15h à 18h, dimanche et jours fériés de 14h30 à 17h30 du 1er avril au 11 novembre. Toute l'année sur rdv;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;43.931511,5.637976
Musée Eugène Le Roy et des Vieux Métiers;2429101;Place Bertran de Born;24290;MONTIGNAC;05 53 51 82 60;05 53 50 49 72;;;;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;45.063871,1.163498
Musée de la Société d’Etudes Scientifiques et Achéologiques;8305002;2, Montée de l'Horloge;83300;DRAGUIGNAN;04 94 68 38 32;04 94 68 38 32;;;Ouvert le mercredi et le samedi de 14h à 18h;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.540227,6.466305
Musée Municipal de Tonnerre;8941801;22, Rue Rougemont;89700;TONNERRE;03 86 55 03 82;;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;YONNE;47.855191,3.97484
Musée Historique ou du Vieux Libourne (Robin);3324302;;33500;LIBOURNE;;;;;;;01/02/2003;;NOUVELLE-AQUITAINE;GIRONDE;44.91465,-0.244728
Musée Béarnais;6444504;Association Régionaliste de Pyrénées 7 avenue Henri Faisans;64000;PAU;05 59 82 38 00;05 59 82 38 18;;;;;01/02/2003;;NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;43.3202428022,-0.349730360793
Muséum d'histoire naturelle;8002103;;80000;AMIENS;;;;;;;01/02/2003;;HAUTS-DE-France;SOMME;49.891485,2.296389
Musée Municipal de Blasimon;3305701;Mairie de Blasimon;33540;BLASIMON;05 56 71 52 12;;;;;;01/02/2003;;NOUVELLE-AQUITAINE;GIRONDE;44.747676,-0.092939
Musée des Arts et Traditions des Hautes-Côtes;2125401;1 PLACE DE LA FONTAINE;21220;GEVREY-CHAMBERTIN - Reulle Vergy;03 80 61 40 95;;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.227404,4.964358
Musée de l'Affiche - médiathèque;5212102;7/9, Avenue Foch;52000;CHAUMONT;;;;;;;01/02/2003;;GRAND EST;HAUTE-MARNE;48.110338,5.130124
Musée d'Archéologie Sous-Marine;6614801;Mairie;66660;PORT-VENDRES;04 68 82 01 03;04 62 82 22 33;;;;;01/02/2003;;OCCITANIE;PYRENEES ORIENTALES;42.517253,3.104504
Musée Archéologique de Ruscino;6613605;Château Roussillon;66000;PERPIGNAN;04 68 67 47 17;;;;;;01/02/2003;;OCCITANIE;PYRENEES ORIENTALES;42.708868,2.946321
Musée Lapidaire et Archéologie;8403102;Rue des Saintes Maries;84200;CARPENTRAS;04 90 63 04 92;;;;;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;44.055917,5.046727
Musée de la terre ardéchoise;718601;2, Place des Récollets;7000;PRIVAS;04 75 64 43 69;04 75 64 37 28;;;;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;ARDECHE;44.735836,4.594922
Musée Louis Jourdan;138301;Mairie Place Louis Jourdan;1240;SAINT-PAUL-DE-VARAX;04 74 42 50 13;04 74 42 56 13;;Mi septembre à mi mai;Ouvert en mai, juin et septembre les samedis et dimanches de 14h30 à 17h30, et en juillet-août les vendredis, samedis et dimanches de 14h30 à 17h30;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;AIN;46.0916655381,5.14797548998
Musée d'Histoire et d'Archéologique;3339401;Logis Mallet;33330;SAINT-EMILION;05 57 24 72 09;;;;;;01/02/2003;;NOUVELLE-AQUITAINE;GIRONDE;44.8802992664,-0.154465376932
Musée du Site Médiéval;2437901;;24440;SAINT-AVIT-SENIEUR;05 53 22 32 27;05 53 22 04 13;;;Fermé depuis 2011;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;44.77393,0.815624
Musée du Vieux Pommiers;4217301;Mairie Le Bourg;42260;POMMIERS-EN-FOREZ;04 77 65 40 63;04 77 65 40 63;;;;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;LOIRE;45.8652813058,3.98967950475
Musée du Percheron;6129301;3, Rue du Portail Saint-Denis;61400;MORTAGNE-AU-PERCHE;02 33 25 25 87;;;;Le Musée percheron  de Mortagne est fermé depuis deux ans.;;01/02/2003;;NORMANDIE;ORNE;48.52186,0.54697
Musée du Cloître de Notre-Dame-en-Vaux;5110804;Rue Nicolas Durant;51000;CHALONS-EN-CHAMPAGNE;03 26 64 03 87;03 26 69 38 42;;1er janvier, 1er mai, 11 novembre, 25 décembre;Ouvert du 1er avril au 30 septembre du mercredi au lundi de 10h à 12h et de 14h à 18h et du 1er octobre au 31 mars du lundi au vendredi de 10h à 12h et de 14h à 17h et du samedi au dimanche de 10h à 12h et de 14h à 18h;;05/07/2012;;GRAND EST;MARNE;48.958112,4.362901
Musée de l'Artisanat Jurassien;3904101;Abbaye de Baume-Les-Messieurs;39210;VOITEUR;03 84 87 33 00;03 84 44 95 45;;;Ouvert en juillet-août et les week-end de septembre à octobre;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;JURA;46.707619,5.64848
Musée des Beaux-Arts;5050201;Centre Culturel Jean Lurçat Place du Champ de Mars;50000;SAINT-LO;02 33 72 52 55;02 33 57 82 49;;1er janvier, Pâques, 1er mai, Ascension, 1er novembre, 25 décembre;Ouvert du mercredi au dimanche de 14h à 18h, sur rendez-vous le matin;;01/02/2003;;NORMANDIE;MANCHE;49.1199688631,-1.08893981029
Musée des Automates;9205101;Hôtel Arturo Lopez 12, Rue du Centre;92200;NEUILLY-SUR-SEINE;01 55 62 60 90;01 55 62 61 24;;25 décembre, 1er janvier;Musée en travaux ouvert 6 jours en 2010;;01/02/2003;;ÎLE-DE-France;HAUTS DE SEINE;48.8855663756,2.26645990318
Musée du Bois;140701;1, Place de la République;1420;SEYSSEL;04 50 56 21 55;04 50 59 26 08;;;Musée fermé pour rénovation Ouvert lors des JEP de 10h à 12h et de 14h à 18h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;AIN;45.959254,5.831685
Musée d'Histoire et d'Archéologie des Baux-de-Provence;1301103;Ilot Post Tenebra Lux;13520;LES BAUX DE PROVENCE;04 90 54 45 99;;;;Ouvert en juillet et tous les mercredis;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.7214018039,4.81156485939
Muséum d'Histoire Naturelle;6216004;115, Boulevard Eurvin;62317;BOULOGNE-SUR-MER;03 21 80 09 80;;;;;;01/02/2003;;HAUTS-DE-France;PAS-DE-CALAIS;
Musée Historial;4210601;Mairie Le Bourg;42260;GREZOLLES;04 77 62 57 00;04 77 62 54 58;;;;;01/02/2003;17/11/2017 00:00;AUVERGNE-RHÔNE-ALPES;LOIRE;45.8652813058,3.98967950475
Musée Municipal;1003301;Hôtel de ville Place Carnot - B.P. 110;10202;BAR-SUR-AUBE;03 25 27 04 21;03 25 27 22 91;;;;;01/02/2003;;GRAND EST;AUBE;
Musée Archéologique;416601;Mairie de Riez;4500;RIEZ-LA-ROMAINE;04 92 77 89 30;04 92 77 99 07;;;Fermé pour travaux en 2012;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;43.817421,6.093121
Ecomusée du Roannais;4218702;Passage Général Giraud;42300;ROANNE;04 77 71 31 88;04 77 70 78 56;;;;;01/02/2003;16/11/2015 00:00;AUVERGNE-RHÔNE-ALPES;LOIRE;46.034216,4.056283
Musée de l'Argonne Viard-Morel;5150702;Place Général Leclerc;51800;SAINTE-MENEHOULD;03 26 60 80 21;03 26 60 62 54;;;;;01/02/2003;;GRAND EST;MARNE;49.09238,4.898046
Musée Ernest Guédon;5821501;17, quai Jules-Pabiot;58150;POUILLY-SUR-LOIRE;03 86 93 54 54;03 86 93 54 55;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;47.285947,2.949487
Musée Langlois;1405501;Mairie 13, rue du Paradis;14950;BEAUMONT-EN-AUGE;02 31 64 85 41;02 31 64 19 72;;;;;01/02/2003;;NORMANDIE;CALVADOS;49.2830960197,0.0921245287823
Musée Rural de la Sologne Bourbonnaise;307401;2, Rue de la Poste;3230;BEAULON;;;;;;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;ALLIER;46.602165,3.672361
Musée de l'Ancien Collège des Jésuites;5145407;49, Avenue du Général de Gaulle;51100;REIMS;03 26 35 34 70;03 26 35 34 92;;;;;01/02/2003;;GRAND EST;MARNE;49.242853,4.01526
Musée de la poste;3700302;6, Rue Joyeuse;37400;AMBOISE;01 47 57 00 11;;;;;;01/02/2003;;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.411309,0.984736
Musée Lapidaire Saint-Nicolas;7101403;Rue Saint Nicolas;71400;AUTUN;03 85 52 35 71;03 85 52 20 28;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.955535,4.300118
Musée Bonnevallais;2805101;Rue des Ecoles;28800;BONNEVAL;;;;;;;01/02/2003;;CENTRE-VAL DE LOIRE;EURE ET LOIR;48.183824,1.390005
Musée de la Société d'Histoire et d'Archéologie;106401;Mairie;1470;BRIORD;04 74 39 83 25;04 74 39 83 25;;;Ouvert le jeudi de 14h à 18h de mai à septembre;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;AIN;45.778561,5.485517
Musée du Rethelois et du Porcien;836201;Place Noiret-Chaigneau;8300;RETHEL;03 24 38 52 16;;;;;;01/02/2003;;GRAND EST;ARDENNES;49.506881,4.363521
Musée Municipal - Musée Trésor;6529501;Presbytère;65120;LUZ-SAINT-SAUVEUR;05 62 92 35 88;;;;Ouvert tous les jours de juin à septembre de 16h à 18h30;;01/02/2003;;OCCITANIE;HAUTES-PYRENEES;42.865782,0.001324
Musée des Techniques Fromagères;1465401;Rue Saint Benoît;14170;SAINT-PIERRE-SUR-DIVES;02 31 20 97 90;02 31 40 84 62;;Jours fériés;Ouvert du 15 octobre au 15 avril du lundi au vendredi de 9h30 à 12h30 et de 13h30 à 17h30, du 16 avril au 14 octobre du lundi au vendredi de 9h30 à 12h30 et de 13h30 à 18h, le samedi de 10h30 à 12h30 et de 14h à 17h;;01/02/2003;;NORMANDIE;CALVADOS;49.019521,-0.033243
Musée de Minerve;3728201;Place du Musée;37290;YZEURES-SUR-CREUSE;02 47 94 26 54;02 47 94 43 32;;;Ouvert d'avril à octobre de 8h à 18h tous les jours;;01/02/2003;;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;46.785938,0.87002
Muséum d'histoire naturelle;7306504;208, Avenue de Lyon;73007;CHAMBERY;04 79 62 18 68;;;Jours fériés;Ouvert du mardi au vendredi, le matin sur rdv pour les groupes et de 14h à 17h30, le samedi de 14h à 17h30;Nuit des musées;01/02/2003;;AUVERGNE-RHÔNE-ALPES;SAVOIE;
Musée Municipal des Ivoires;7675801;8, Place Maréchal Joffre;76190;YVETOT;02 35 95 08 40;02 35 95 65 02;;;Ouvert d'avril à juin, et septembre du mardi au samedi de 9h à 12h30 et de 14h à 18h et d'octobre à mars du mardi au samedi de 9h à 12h30 et de 14h à 17h30, en juillet-août du lundi après-midi au samedi de 9h à 12h45 et de 14h à 18h;;01/02/2003;;NORMANDIE;SEINE-MARITIME;49.617332,0.754906
Musée de l'Armée;7510701;Hôtel National des Invalides 129, rue de Grenelle;75007;PARIS;01 44 42 38 77;01 44 42 37 64;http://www.musee-armee.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert d'avril à octobre de 10h à 18h, de novembre à mars de 10h à 17h (17h30 pendant les vacances de Noël et de printemps). Du 15 juin au 15 septembre l'église du dôme reste ouverte jusqu'à 19h;Mardi jusqu'à 21h d'avril à septembre;06/01/2002;;ÎLE-DE-France;PARIS;48.8561051636,2.31254406306
Musée Baron Martin;7027901;6, rue Edmond Pigalle;70100;GRAY;03 84 65 69 10;03 84 65 22 29;http://www.musee-baronmartin.fr;1er janvier, 1er mai, 1er et 11 novembre, 24, 31 décembre;Ouvert du 2  janvier au 30 avril et du 1er octobre au 31 décembre de 14h à 17h du mercredi au lundi, et du 2 mai au 30 septembre de 10h à 12 h et de 14h à 18h du mercredi au lundi;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;HAUTE-SAONE;47.446411,5.592781
Musée Gallo-Romain de Vesunna;2432203;Parc de Vésone 20, Rue du 26ème Régiment d'Infanterie;24000;PERIGUEUX;05 53 53 00 92;05 53 35 40 12;http://www.perigueux-vesunna.fr/;Fermeture les 1er et 2ème semaines de janvier après vacances scolaires, et les jours fériés d'octobre à mars;Ouvert d'avril à juin et septembre du mardi au vendredi de 9h30 à 17h30, le week-end de 10h à 12h30 et de 14h30 à 18h, en juillet-août tous les jours de 10h à 19h, d'octobre à mars du mardi au vendredi de 9h30 à 12h30 et de 13h30 à 17h, le week-end de 10h;;19/11/2009;;NOUVELLE-AQUITAINE;DORDOGNE;45.1922180776,0.71141252253
Albert-Kahn, Musée et Jardin Départementaux;9201203;10-14, Rue du Port;92100;BOULOGNE-BILLANCOURT;01 55 19 28 03;01 46 03 86 59;http://albert-kahn.hauts-de-seine.fr/;1er janvier, 25 décembre;Ouvert du mardi au dimanche de 11h à 17h d'octobre à avril et de 11h à 18h de mai à septembre;;01/02/2003;;ÎLE-DE-France;HAUTS DE SEINE;48.841354,2.227488
Musée Archéologique du Nivernais (Porte du Croux);5819403;Société Nivernaise des Lettres et Sciences et Arts Rue de la Porte du Croux;58000;NEVERS;03 86 59 17 85;;;;Ouvert uniquement lors des journées européennes du patrimoine;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;46.9644333624,3.17459118159
Musée Municipal;7714201;;77580;CRECY-LA-CHAPELLE;;;;;;;01/02/2003;;ÎLE-DE-France;SEINE ET MARNE;48.858,2.907321
Musée Electropolis;6822404;55, rue du Pâturage B.P. 52463;68057;MULHOUSE;03 89 32 48 50;03 89 32 82 47;http://electropolis.edf.com;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 et 26 décembre;Ouvert du mardi au dimanche de 10h à 18h;;01/02/2003;;GRAND EST;HAUT-RHIN;
